,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,TARGET,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,1,0,1,2,1,0,10000.0,1,1
1,1,0,1,3,3,0,12000.0,1,1
2,1,0,1,4,0,0,9000.0,2,1
3,1,0,1,1,1,0,25000.0,1,1
4,1,0,0,0,0,0,12000.0,2,1
6,1,0,0,1,1,0,15000.0,2,2
7,1,0,1,0,0,0,6000.0,2,1
8,1,0,0,2,0,0,100000.0,1,1
9,1,0,1,0,0,0,7000.0,1,1
10,1,0,1,2,0,0,19000.0,1,1
11,1,0,0,0,0,1,18000.0,2,1
12,0,1,0,3,0,1,7000.0,1,1
13,1,0,1,3,1,0,12000.0,1,1
14,1,0,1,0,1,0,20000.0,2,1
15,1,0,1,0,0,1,60000.0,1,1
16,0,1,1,2,0,0,10000.0,1,1
17,1,0,1,1,1,0,5200.0,1,1
18,1,0,0,0,0,1,35000.0,1,1
19,1,0,1,0,0,0,15000.0,1,1
20,1,0,1,1,1,0,10000.0,1,1
22,1,0,1,3,2,0,14000.0,1,1
23,1,0,1,0,0,0,10000.0,1,1
24,1,0,1,1,1,0,8000.0,1,1
25,1,0,1,1,1,0,13000.0,1,1
26,1,0,1,0,0,0,12500.0,1,1
27,1,0,1,1,1,1,12000.0,1,1
28,1,0,0,1,1,0,20000.0,1,1
29,0,1,1,0,0,0,5000.0,1,1
30,1,0,1,3,2,0,11000.0,1,1
31,1,0,0,1,1,0,15000.0,1,1
32,1,0,1,2,0,0,5000.0,1,1
33,1,0,0,0,0,0,10000.0,1,1
34,1,0,1,0,0,0,13000.0,1,1
35,1,0,1,2,2,0,30000.0,1,1
36,1,0,0,0,0,0,23000.0,2,2
37,1,0,0,4,4,0,15000.0,1,1
38,1,0,0,2,0,0,10000.0,1,1
40,0,1,1,2,0,0,5000.0,1,1
41,1,0,1,1,1,0,8000.0,2,2
43,0,1,1,0,0,0,4000.0,1,1
44,1,0,1,2,0,0,8000.0,2,1
45,1,0,1,2,0,0,13000.0,1,1
46,1,0,0,0,0,0,50000.0,1,1
48,1,0,1,1,1,0,20000.0,2,1
49,1,0,0,1,1,0,18000.0,1,1
50,1,0,1,2,0,0,40000.0,1,1
51,1,0,0,1,1,0,10000.0,1,1
52,1,0,1,0,0,0,20000.0,1,1
53,0,1,1,1,1,0,5700.0,2,2
54,1,0,0,0,0,0,15000.0,2,2
55,1,0,1,0,0,0,11000.0,1,1
56,0,1,0,2,0,0,9000.0,1,1
57,1,0,1,0,0,0,9000.0,1,1
58,1,0,1,0,0,0,12800.0,2,1
60,1,0,1,1,1,1,15000.0,1,1
62,1,0,1,1,1,0,15000.0,1,1
63,0,1,1,2,0,0,5500.0,1,1
64,1,0,0,0,1,0,7000.0,1,1
65,1,0,0,2,2,1,6000.0,1,1
66,1,0,0,3,3,0,11000.0,1,1
67,0,1,1,2,0,0,4800.0,1,1
68,1,0,0,0,0,0,30000.0,1,1
69,1,0,1,0,0,0,5300.0,1,1
70,1,0,1,0,0,0,50000.0,1,1
71,1,0,1,2,0,0,22000.0,1,1
72,1,0,1,1,1,0,11700.0,1,1
73,1,0,0,1,1,0,8000.0,1,1
74,1,0,1,1,1,0,5000.0,2,2
75,1,0,1,2,0,0,7500.0,1,1
76,1,0,0,2,1,0,18000.0,2,2
77,1,0,0,0,0,0,8000.0,1,1
78,1,0,0,2,2,0,20000.0,1,1
79,1,0,1,1,1,1,10000.0,1,1
81,1,0,1,1,0,0,11000.0,1,1
82,1,0,1,1,1,0,15000.0,2,2
84,1,0,1,0,0,1,10000.0,1,1
87,1,0,0,2,0,0,25000.0,1,1
88,1,0,1,1,1,0,11000.0,1,1
89,1,0,1,1,0,0,8500.0,1,1
90,1,0,0,3,0,0,4000.0,1,1
91,1,1,1,3,3,0,15000.0,2,1
92,1,0,0,1,0,0,8000.0,1,1
93,1,0,0,1,0,0,10000.0,1,1
94,1,0,0,0,0,0,18000.0,1,1
95,1,0,0,3,1,0,15000.0,1,1
96,1,0,0,2,0,0,12000.0,1,1
97,1,0,1,1,1,0,7300.0,1,1
98,1,0,1,0,0,0,25000.0,1,1
99,1,0,1,0,0,0,8000.0,1,1
100,1,0,0,0,0,0,12000.0,1,1
102,1,0,1,2,2,0,10000.0,1,1
103,1,0,0,1,1,0,14500.0,1,1
104,0,1,0,2,0,0,5000.0,1,1
105,1,0,0,0,0,0,10000.0,2,1
106,0,1,1,0,0,1,6000.0,1,1
107,1,0,1,1,1,0,5000.0,1,1
108,1,0,0,1,2,0,12000.0,1,1
109,1,1,0,0,0,0,30000.0,1,1
110,0,1,0,0,0,0,6000.0,1,1
111,1,0,0,2,2,0,27000.0,1,1
112,1,0,1,2,2,0,9000.0,1,1
114,1,0,0,2,2,0,6000.0,2,2
115,1,0,0,1,0,0,15000.0,1,1
116,1,0,0,1,1,0,13500.0,1,1
117,1,0,1,1,1,0,6500.0,1,1
118,1,0,0,2,2,0,14000.0,1,1
122,1,0,1,2,1,0,8600.0,1,1
123,1,0,1,1,1,0,35000.0,1,1
124,1,0,0,0,0,0,15000.0,1,1
125,0,1,1,0,0,0,8000.0,2,2
127,1,0,0,4,4,0,38000.0,3,2
129,1,0,1,1,1,1,11000.0,1,1
132,1,0,1,2,0,0,6000.0,1,1
133,1,0,1,0,0,0,12000.0,1,1
134,1,0,1,2,2,0,5000.0,1,1
135,1,0,1,1,1,0,10000.0,2,2
136,1,0,0,1,1,0,6200.0,1,1
140,1,0,1,0,0,0,6000.0,1,1
142,0,1,1,2,0,0,7000.0,1,1
143,1,0,1,1,1,0,10500.0,1,1
144,1,0,1,0,0,0,170000.0,1,1
145,1,1,1,0,0,0,15000.0,1,1
146,1,0,1,2,2,0,15000.0,1,1
147,1,0,1,2,0,0,10000.0,1,1
151,1,0,0,0,0,0,20000.0,1,1
152,1,0,1,2,2,0,60000.0,1,1
153,1,0,0,2,2,0,10000.0,1,1
154,1,0,1,2,2,0,8000.0,1,1
155,1,0,0,2,0,0,7000.0,1,1
156,1,0,0,2,0,0,15600.0,1,1
157,1,1,1,3,1,0,36000.0,2,1
159,1,0,0,2,2,1,12000.0,2,2
162,1,0,0,0,0,1,15000.0,2,2
163,1,0,0,2,2,0,10000.0,3,2
164,1,0,1,2,2,0,3300.0,1,1
165,1,0,0,1,2,0,30000.0,2,1
167,1,0,0,1,2,0,25000.0,2,2
168,1,0,1,1,1,0,6000.0,1,1
170,1,0,0,1,1,0,6500.0,1,1
171,1,0,0,1,1,0,25000.0,1,1
172,1,1,1,1,0,0,9300.0,1,1
176,1,0,0,0,0,1,13000.0,1,1
177,1,0,1,1,1,0,18000.0,2,2
179,1,0,0,0,0,0,40000.0,1,1
180,1,0,0,3,0,0,12000.0,1,1
181,1,1,1,3,0,0,20000.0,1,1
182,1,0,0,0,0,0,35000.0,1,1
183,0,1,1,1,0,0,8000.0,1,1
184,1,0,1,0,0,0,18000.0,1,1
185,1,0,1,1,0,0,17000.0,1,1
186,1,0,0,2,2,0,6000.0,2,1
187,1,0,0,0,0,0,5500.0,1,1
188,1,0,0,0,0,0,28000.0,1,1
189,1,0,1,2,0,0,9000.0,1,1
190,1,0,1,1,1,0,14000.0,1,1
191,0,1,1,0,0,0,9000.0,1,1
193,0,1,1,0,0,0,7000.0,1,1
195,1,0,1,1,0,1,25000.0,1,1
197,0,1,1,0,0,0,10000.0,1,1
199,1,1,1,0,0,0,15000.0,2,2
200,1,0,1,2,2,1,12000.0,2,2
201,1,0,1,2,0,0,15000.0,1,1
202,1,0,1,1,1,0,2300.0,1,1
203,1,0,1,0,0,1,12000.0,1,1
204,1,0,0,1,1,0,20000.0,2,2
206,1,0,1,1,1,0,7000.0,1,1
209,1,0,1,0,0,0,8000.0,2,2
210,1,0,1,1,0,0,30000.0,1,1
211,1,1,1,1,1,0,10000.0,1,1
212,1,0,0,1,1,0,6000.0,1,1
216,1,0,1,0,0,0,5000.0,1,1
217,1,0,0,1,1,0,12000.0,1,1
218,1,0,0,2,2,1,32000.0,1,1
219,1,0,1,0,0,0,20000.0,2,2
221,0,1,1,1,0,0,5500.0,1,1
222,1,0,1,0,0,0,12000.0,2,1
223,1,0,1,1,1,0,13500.0,1,1
224,1,1,1,0,0,0,5000.0,1,1
225,1,0,0,2,2,0,11000.0,2,2
227,1,0,0,2,2,0,21000.0,1,1
228,1,0,0,0,0,1,28000.0,1,1
229,1,0,1,1,1,0,18000.0,2,1
231,1,0,1,2,1,0,30000.0,1,1
232,1,1,1,0,0,0,7500.0,3,2
233,0,1,1,0,0,0,8400.0,2,2
234,1,0,1,2,0,1,5600.0,1,1
236,1,0,0,0,0,0,13000.0,1,1
238,1,0,1,1,1,0,25000.0,2,1
239,1,0,1,2,2,0,6000.0,1,1
240,1,0,1,2,2,0,9800.0,1,1
241,1,0,0,1,1,1,12000.0,1,1
242,1,0,0,0,0,0,11000.0,1,1
245,1,0,1,1,1,0,9000.0,1,1
248,1,0,1,1,0,0,10000.0,1,1
249,1,0,1,1,0,0,7000.0,1,1
250,1,0,0,3,0,0,30000.0,1,1
251,1,0,0,1,1,0,35000.0,1,1
252,1,0,1,1,0,1,10000.0,1,1
253,1,0,0,2,2,1,25000.0,1,1
255,1,0,1,1,1,1,12500.0,1,1
257,1,0,1,2,0,1,7000.0,1,1
259,1,0,1,0,0,0,10000.0,2,1
260,1,0,1,0,0,0,14000.0,1,1
263,0,1,1,1,0,0,6000.0,1,1
264,0,1,0,0,0,0,4300.0,1,1
267,0,1,1,3,0,0,5000.0,1,1
268,1,0,0,0,0,0,24000.0,2,1
269,1,0,0,1,1,0,7000.0,1,1
273,0,1,1,4,0,0,6200.0,1,1
274,0,1,1,2,0,0,4500.0,1,1
279,1,0,1,2,1,0,15000.0,1,1
282,0,1,1,0,0,0,6000.0,1,1
283,1,0,1,2,2,0,11000.0,1,1
284,0,1,1,0,0,0,8000.0,1,1
285,1,0,1,1,0,0,20000.0,1,1
286,1,0,1,1,1,0,16000.0,1,1
287,1,0,1,1,1,0,20000.0,1,1
291,1,0,0,3,3,0,12000.0,1,1
292,1,0,1,0,0,0,40000.0,1,1
293,1,0,0,2,2,0,30000.0,1,1
296,1,0,1,2,2,0,10000.0,1,0
297,1,0,0,0,0,0,6000.0,1,1
