,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,AGREEMENT_RK,TARGET,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,1,0,1,2,1,59910150,0,10000.0,1,1
1,1,0,1,3,3,59910230,0,12000.0,1,1
2,1,0,1,4,0,59910525,0,9000.0,2,1
3,1,0,1,1,1,59910803,0,25000.0,1,1
4,1,0,0,0,0,59911781,0,12000.0,2,1
5,1,0,0,0,0,59911784,0,12000.0,2,1
6,1,0,0,1,1,59911832,0,15000.0,2,2
7,1,0,1,0,0,59912034,0,6000.0,2,1
8,1,0,0,2,0,59912560,0,100000.0,1,1
9,1,0,1,0,0,59912659,0,7000.0,1,1
10,1,0,1,2,0,59912692,0,19000.0,1,1
11,1,0,0,0,0,59913108,1,18000.0,2,1
12,0,1,0,3,0,59913134,1,7000.0,1,1
13,1,0,1,3,1,59913205,0,12000.0,1,1
14,1,0,1,0,1,59913395,0,20000.0,2,1
15,1,0,1,0,0,59913542,1,60000.0,1,1
16,0,1,1,2,0,59913603,0,10000.0,1,1
17,1,0,1,1,1,59913652,0,5200.0,1,1
18,1,0,0,0,0,59913736,1,35000.0,1,1
19,1,0,1,0,0,59913985,0,15000.0,1,1
20,1,0,1,1,1,59914132,0,10000.0,1,1
21,1,0,1,1,1,59914133,0,10000.0,1,1
22,1,0,1,3,2,59914282,0,14000.0,1,1
23,1,0,1,0,0,59914348,0,10000.0,1,1
24,1,0,1,1,1,59914507,0,8000.0,1,1
25,1,0,1,1,1,59914532,0,13000.0,1,1
26,1,0,1,0,0,59914562,0,12500.0,1,1
27,1,0,1,1,1,59914760,1,12000.0,1,1
28,1,0,0,1,1,59914815,0,20000.0,1,1
29,0,1,1,0,0,59914912,0,5000.0,1,1
30,1,0,1,3,2,59914934,0,11000.0,1,1
31,1,0,0,1,1,59914938,0,15000.0,1,1
32,1,0,1,2,0,59915134,0,5000.0,1,1
33,1,0,0,0,0,59915164,0,10000.0,1,1
34,1,0,1,0,0,59915192,0,13000.0,1,1
35,1,0,1,2,2,59915193,0,30000.0,1,1
36,1,0,0,0,0,59915275,0,23000.0,2,2
37,1,0,0,4,4,59915302,0,15000.0,1,1
38,1,0,0,2,0,59915312,0,10000.0,1,1
39,1,0,1,0,0,59915340,0,13000.0,1,1
40,0,1,1,2,0,59915354,0,5000.0,1,1
41,1,0,1,1,1,59915402,0,8000.0,2,2
42,1,0,0,1,1,59915484,0,20000.0,1,1
43,0,1,1,0,0,59915500,0,4000.0,1,1
44,1,0,1,2,0,59915564,0,8000.0,2,1
45,1,0,1,2,0,59915634,0,13000.0,1,1
46,1,0,0,0,0,59915800,0,50000.0,1,1
47,1,0,1,0,0,59915970,0,15000.0,1,1
48,1,0,1,1,1,59916060,0,20000.0,2,1
49,1,0,0,1,1,59916079,0,18000.0,1,1
50,1,0,1,2,0,59916196,0,40000.0,1,1
51,1,0,0,1,1,59916537,0,10000.0,1,1
52,1,0,1,0,0,59916782,0,20000.0,1,1
53,0,1,1,1,1,59917047,0,5700.0,2,2
54,1,0,0,0,0,59917064,0,15000.0,2,2
55,1,0,1,0,0,59917071,0,11000.0,1,1
56,0,1,0,2,0,59917104,0,9000.0,1,1
57,1,0,1,0,0,59917205,0,9000.0,1,1
58,1,0,1,0,0,59917790,0,12800.0,2,1
59,1,0,0,1,1,59917807,0,20000.0,1,1
60,1,0,1,1,1,59917814,1,15000.0,1,1
61,0,1,1,2,0,59917902,0,10000.0,1,1
62,1,0,1,1,1,59918129,0,15000.0,1,1
63,0,1,1,2,0,59918141,0,5500.0,1,1
64,1,0,0,0,1,59918142,0,7000.0,1,1
65,1,0,0,2,2,59918152,1,6000.0,1,1
66,1,0,0,3,3,59918243,0,11000.0,1,1
67,0,1,1,2,0,59918315,0,4800.0,1,1
68,1,0,0,0,0,59918616,0,30000.0,1,1
69,1,0,1,0,0,59918705,0,5300.0,1,1
70,1,0,1,0,0,59918758,0,50000.0,1,1
71,1,0,1,2,0,59919115,0,22000.0,1,1
72,1,0,1,1,1,59919158,0,11700.0,1,1
73,1,0,0,1,1,59919255,0,8000.0,1,1
74,1,0,1,1,1,59919426,0,5000.0,2,2
75,1,0,1,2,0,59919466,0,7500.0,1,1
76,1,0,0,2,1,59919794,0,18000.0,2,2
77,1,0,0,0,0,59919854,0,8000.0,1,1
78,1,0,0,2,2,59920262,0,20000.0,1,1
79,1,0,1,1,1,59920457,1,10000.0,1,1
80,1,0,1,0,0,59920692,0,9000.0,1,1
81,1,0,1,1,0,59920809,0,11000.0,1,1
